Astronaut,Selection Year, Group, # Flights,Status,Military or civilian,Gender,Date of birth,Missions flown,Cumulative hours of space flight time
"Carpenter, M. Scott",1959,1,1,Former,Military,Male,5/1/1925,Mercury 7,4
"Cooper, L. Gordon, Jr.",1959,1,2,Deceased,Military,Male,3/6/1927,Mercury 9 and Gemini 5,225
"Glenn, John H., Jr.",1959,1,2,Former,Military,Male,7/18/1921,Mercury 6 and STS-95,217
"Grissom, Virgil I.",1959,1,2,Deceased,Military,Male,4/3/1926,Mercury 4 and Gemini 3,5
"Schirra, Walter M., Jr.",1959,1,3,Deceased,Military,Male,3/12/1923,"Mercury 8, Gemini 6 and Apollo 7",295
"Shepard, Alan B., Jr.",1959,1,2,Deceased,Military,Male,11/18/1923,Mercury 3 and Apollo 14,216
"Slayton, Donald K.",1959,1,1,Deceased,Civilian,Male,3/1/1924,Apollo-Soyuz Test Project,217
"Armstrong, Neil A.",1962,2,2,Former,Civilian,Male,8/5/1930,Gemini 8 and Apollo 11,205
"Borman, Frank",1962,2,2,Former,Military,Male,3/14/1928,Gemini 7 and Apollo 8,477
"Conrad, Charles, Jr.",1962,2,4,Deceased,Military,Male,5/2/1930,"Gemini 5, Gemini 11, Apollo 12 and Skylab 2",1179
"Lovell, James A., Jr.",1962,2,4,Former,Military,Male,3/25/1928,"Gemini 7, Gemini 12, Apollo 8 and Apollo 13",715
"McDivitt, James A.",1962,2,2,Former,Military,Male,6/10/1929,Gemini 4 and Apollo 9,338
"See, Elliot M., Jr.",1962,2,0,Deceased,Civilian,Male,7/23/1927,,0
"Stafford, Thomas P.",1962,2,4,Former,Military,Male,9/17/1930,"Gemini 6, Gemini 9, Apollo 10 and Apollo-Soyuz Test Project",507
"White, Edward H., II",1962,2,1,Deceased,Military,Male,11/14/1930,Gemini 4,97
"Young, John W.",1962,2,6,Former,Military,Male,9/24/1930,"Gemini 3, Gemini 10, Apollo 10, Apollo 16, STS-1 and STS-9",835
"Williams, Clifton C., Jr.",1963,3,0,Deceased,Military,Male,9/26/1932,,0
"Aldrin, Buzz",1963,3,2,Former,Military,Male,1/20/1930,Gemini 12 and Apollo 11,289
"Anders, William A.",1963,3,1,Former,Civilian,Male,10/17/1933,Apollo 8,147
"Bassett, Charles A., II",1963,3,0,Deceased,Military,Male,12/30/1931,,0
"Bean, Alan L.",1963,3,2,Former,Military,Male,3/15/1932,Apollo 12 and Skylab 3,1671
"Cernan, Eugene A.",1963,3,3,Former,Military,Male,3/14/1934,"Gemini 9, Apollo 10 and Apollo 17",566
"Chaffee, Roger B.",1963,3,0,Deceased,Military,Male,2/15/1935,,0
"Collins, Michael",1963,3,2,Former,Civilian,Male,10/31/1930,Gemini 10 and Apollo 11,266
"Cunningham, Walter",1963,3,1,Former,Civilian,Male,3/16/1932,Apollo 7,263
"Eisele, Donn F.",1963,3,1,Deceased,Military,Male,5/23/1930,Apollo 7,260
"Freeman, Theodore C.",1963,3,0,Deceased,Military,Male,2/18/1930,,0
"Gordon, Richard F., Jr.",1963,3,2,Former,Military,Male,10/5/1929,Gemini 11 and Apollo 12,315
"Schweickart, Russell L.",1963,3,1,Former,Civilian,Male,10/25/1935,Apollo 9,241
"Scott, David R.",1963,3,3,Former,Military,Male,6/6/1932,"Gemini 8, Apollo 9 and Apollo 15",546
"Garriott, Owen K.",1965,4,2,Former,Civilian,Male,11/22/1930,Skylab 3 and STS-9,1674
"Gibson, Edward G.",1965,4,1,Former,Civilian,Male,11/8/1936,Skylab 4,2017
"Graveline, Duane E.",1965,4,0,Former,Civilian,Male,3/2/1931,,0
"Kerwin, Joseph P.",1965,4,1,Former,Military,Male,2/19/1932,Skylab 2,672
"Michel, F. Curtis",1965,4,0,Former,Civilian,Male,6/5/1934,,0
"Schmitt, Harrison H.",1965,4,1,Former,Civilian,Male,7/3/1935,Apollo 17,301
"Worden, Alfred M.",1966,5,1,Former,Military,Male,2/7/1932,Apollo 15,295
"Brand, Vance D.",1966,5,4,Former,Civilian,Male,5/9/1931,"Apollo-Soyuz Test Project, STS-5, STS 41-B and STS-35",746
"Bull, John S.",1966,5,0,Deceased,Civilian,Male,9/25/1934,,0
"Carr, Gerald P.",1966,5,1,Former,Military,Male,8/22/1932,Skylab 4,2017
"Duke, Charles M., Jr.",1966,5,1,Former,Military,Male,10/3/1935,Apollo 16,265
"Engle, Joe H.",1966,5,2,Former,Military,Male,8/26/1932,STS-2 and STS 51-I,224
"Evans, Ronald E.",1966,5,1,Deceased,Military,Male,11/10/1933,Apollo 17,301
"Givens, Edward G., Jr.",1966,5,0,Deceased,Military,Male,1/5/1930,,0
"Haise, Fred W., Jr.",1966,5,1,Former,Civilian,Male,11/14/1933,Apollo 13,142
"Irwin, James B.",1966,5,1,Deceased,Military,Male,3/17/1930,Apollo 15,295
"Lind, Don L.",1966,5,1,Former,Civilian,Male,5/18/1930,STS 51-B,168
"Lousma, Jack R.",1966,5,2,Former,Military,Male,2/29/1936,Skylab 3 and STS-3,1619
"Mattingly, Thomas K., II",1966,5,3,Former,Military,Male,3/17/1936,"Apollo 16, STS-4 and STS 51-C",504
"McCandless, Bruce, II",1966,5,2,Former,Military,Male,6/8/1937,STS 41-B and STS-31,312
