category,item
alcohol-drugs,10 oz shot glass
alcohol-drugs,2L Beer Can
alcohol-drugs,4/20 
alcohol-drugs,Cannabis absinthe
alcohol-drugs,Ceramic tequila canteen. 
alcohol-drugs,Dead shot glass
alcohol-drugs,Jimmy Buffet Tumbler 
alcohol-drugs,Misprinted alcohol label
alcohol-drugs,Paper beer coasters
alcohol-drugs,Pill Splitter
alcohol-drugs,pipe
alcohol-drugs,pipe from Thames
alcohol-drugs,Shot glass given to me on my birthday by a bartender 
alcohol-drugs,Turtle pipe
alcohol-drugs,Vodka
Animal,a carapace
Animal,A shark tooth
Animal,Aligator head
Animal,Alligator Skull
Animal,big shark tooth
Animal,Cow hoof canteen
Animal,crocodile foot
Animal,Dried Eel
Animal,Kangaroo Balls
Animal,Kangaroo testicles
Animal,My dog.
Animal,Ostrich egg
Animal,Quebecoise coyote tail
Animal,Reindeer pelt
Animal,sea urchin pins
Animal,skull
Animal,Snake bone bracelet made for me by a Filippino friend
Animal,Snakeskin
Animal,Sting Ray Stinger
Clothing,"gardening" gloves frome a mine in bolivia
Clothing,A piece of cloth from Kuala Lumpur
Clothing,Apron
Clothing,Baseball Cap
Clothing,Boxing gloves
Clothing,Brighton Socks
Clothing,Chinese Silk Shirt
Clothing,Clog Slippers 
Clothing,Couture Dog Bandana  
Clothing,Cowboy hat from USA
Clothing,dingle hat
Clothing,Elephant pants
Clothing,Gloves
Clothing,Hat
Clothing,Hilarious beanie
Clothing,Hockey sweater 
Clothing,Japanese English tshirt
Clothing,Japanese Warrior headband
Clothing,Muskox yarn mittens
Clothing,nagorno-karabakh flag hat
Clothing,Nepali political t-shirt
Clothing,North Korean suit
Clothing,Peruvian velvet skirt
Clothing,Statue David Boxers
Clothing,tailored suit
Clothing,Underwear
Clothing,Underwear
Clothing,Wolly gloves and socks from Kaza, India
Clothing,womens flip flops
Crime,a croatian police report (got burgled)
Crime,Stolen hat
Crime,Stolen Oktoberfest cup
Environment,A bottle of sand
Environment,A rock
Environment,Acorn from cemetery 
Environment,Alaskan Glacial Till
Environment,Autumn leaves
Environment,Birch bark
Environment,dirt from israel
Environment,Fossil.
Environment,Fossilized tree trunk
Environment,Found Clamshell
Environment,Holy river mud
Environment,Iceland rock
Environment,Lump of coal
Environment,Piece of bench
Environment,Piece of Rome
Environment,polished fossil camel
Environment,Rock from Zion
Environment,Rocks
Environment,Rocks
Environment,Rocks
Environment,Rocks
Environment,Rocks
Environment,Rocks 
Environment,Rocks from Etna
Environment,salt
Environment,Salt
Environment,sand
Environment,Sand
Environment,sea glass
Environment,Sea shell
Environment,Smuggled Volcanic Rock
Environment,Snow in Mexico
Environment,Stones
Environment,Un tejo 
Environment,Volcanic rock
Environment,Volcano Salt
Experience,A warmshowers.org host
Experience,a water bottle of homemade rakija
Experience,free restaurant bowls
Experience,Friend and I missed our stop in Rome at midnight and had to get off a Civitavecchia. Met a really drunk guy who also missed his stop and chatted with him in broken english/italian/french. And then he told us to close our eyes and handed us rings. One for her and two for me :P
Experience,Getting lost at night in Death Valley in a small road, away from everything we've watch the milky way.
Experience,Kremlin business card
Experience,Letter from stranger
Experience,Paper with lipstick
Experience,Photos
Experience,Pics only
Experience,polaroids with camels
Experience,Smell of Sulphur 
Experience,Stories
Experience,stroop waffle certification
Experience,Tattoo
Experience,to fell how flat Danemark can be 
Experience,Weird guesthouse in Quebec
Food,Bad junk food
Food,Bag of salt
Food,candy cane
Food,Canned sardines
Food,Carrot juice bottle
Food,cat poop coffee
Food,Chinese dry soup in a packet from Malaysia
Food,Coconut Monkey
Food,Coke cans in different languages
